dataset,method,seed,robust_mode,dropout_rate,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,map@10,log_file,status
clothing,FBG+MDR,2024,normal,0.05,0.0672,0.0981,0.1504,0.0365,0.0443,0.0547,0.007,0.0268,SMORE_clothing_FBG+MDR_rate0.05_seed2024.log,ok
clothing,FBG+MDR,42,normal,0.05,0.0657,0.0972,0.1515,0.0358,0.0438,0.0547,0.0068,0.0264,SMORE_clothing_FBG+MDR_rate0.05_seed42.log,ok
clothing,FBG+MDR,999,normal,0.05,0.0663,0.0992,0.1508,0.0361,0.0444,0.0548,0.0069,0.0266,SMORE_clothing_FBG+MDR_rate0.05_seed999.log,ok
clothing,FBG+MDR,2024,normal,0.1,0.0679,0.0986,0.1499,0.0367,0.0444,0.0547,0.007,0.0269,SMORE_clothing_FBG+MDR_rate0.1_seed2024.log,ok
clothing,FBG+MDR,42,normal,0.1,0.0656,0.0967,0.15,0.0358,0.0437,0.0544,0.0068,0.0265,SMORE_clothing_FBG+MDR_rate0.1_seed42.log,ok
clothing,FBG+MDR,999,normal,0.1,0.0668,0.099,0.1509,0.0365,0.0447,0.0551,0.0069,0.027,SMORE_clothing_FBG+MDR_rate0.1_seed999.log,ok
clothing,FBG+MDR,2024,normal,0.2,0.0675,0.0984,0.1502,0.0367,0.0445,0.0549,0.007,0.0271,SMORE_clothing_FBG+MDR_rate0.2_seed2024.log,ok
clothing,FBG+MDR,42,normal,0.2,0.0661,0.0979,0.1503,0.0358,0.0439,0.0544,0.0069,0.0263,SMORE_clothing_FBG+MDR_rate0.2_seed42.log,ok
clothing,FBG+MDR,999,normal,0.2,0.0674,0.0989,0.1515,0.0369,0.0449,0.0554,0.007,0.0273,SMORE_clothing_FBG+MDR_rate0.2_seed999.log,ok
clothing,FBG+MDR,2024,normal,0.3,0.0673,0.0978,0.1496,0.0366,0.0443,0.0546,0.007,0.0269,SMORE_clothing_FBG+MDR_rate0.3_seed2024.log,ok
clothing,FBG+MDR,42,normal,0.3,0.0654,0.0979,0.1494,0.0354,0.0436,0.054,0.0068,0.026,SMORE_clothing_FBG+MDR_rate0.3_seed42.log,ok
clothing,FBG+MDR,999,normal,0.3,0.0673,0.098,0.1513,0.0368,0.0446,0.0553,0.007,0.0272,SMORE_clothing_FBG+MDR_rate0.3_seed999.log,ok
clothing,MDR,2024,normal,0.05,0.0674,0.0978,0.1503,0.0367,0.0444,0.0549,0.007,0.027,SMORE_clothing_MDR_rate0.05_seed2024.log,ok
clothing,MDR,42,normal,0.05,0.0658,0.0979,0.1517,0.0359,0.044,0.0548,0.0068,0.0265,SMORE_clothing_MDR_rate0.05_seed42.log,ok
clothing,MDR,999,normal,0.05,0.0666,0.0983,0.1523,0.0364,0.0445,0.0553,0.0069,0.0269,SMORE_clothing_MDR_rate0.05_seed999.log,ok
clothing,MDR,2024,normal,0.1,0.0676,0.0985,0.1504,0.0368,0.0446,0.055,0.007,0.0271,SMORE_clothing_MDR_rate0.1_seed2024.log,ok
clothing,MDR,42,normal,0.1,0.0658,0.0977,0.1513,0.0359,0.044,0.0547,0.0068,0.0265,SMORE_clothing_MDR_rate0.1_seed42.log,ok
clothing,MDR,999,normal,0.1,0.0664,0.0985,0.1523,0.0365,0.0446,0.0554,0.0069,0.027,SMORE_clothing_MDR_rate0.1_seed999.log,ok
clothing,MDR,2024,normal,0.2,0.0675,0.0985,0.1497,0.0365,0.0443,0.0546,0.007,0.0268,SMORE_clothing_MDR_rate0.2_seed2024.log,ok
clothing,MDR,42,normal,0.2,0.0662,0.0981,0.1501,0.0359,0.044,0.0544,0.0069,0.0264,SMORE_clothing_MDR_rate0.2_seed42.log,ok
