dataset,method,seed,robust_mode,dropout_rate,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,map@10,log_file,status
baby,FBG+MDR_drop_image,2024,normal,,0.0651,0.1009,0.1658,0.0351,0.0443,0.0575,0.0072,0.0251,SMORE_baby_FBG+MDR_seed2024_drop_image.log,ok
baby,FBG+MDR_drop_text,2024,normal,,0.0647,0.1001,0.1646,0.035,0.0441,0.0572,0.0072,0.0251,SMORE_baby_FBG+MDR_seed2024_drop_text.log,ok
baby,FBG+MDR_noise_both,2024,normal,,0.0661,0.1014,0.1674,0.0357,0.0448,0.0582,0.0073,0.0256,SMORE_baby_FBG+MDR_seed2024_noise_both.log,ok
baby,FBG+MDR_noise_image,2024,normal,,0.066,0.1018,0.1677,0.0357,0.0449,0.0583,0.0073,0.0257,SMORE_baby_FBG+MDR_seed2024_noise_image.log,ok
baby,FBG+MDR_noise_text,2024,normal,,0.0654,0.1023,0.1667,0.0354,0.0449,0.0579,0.0073,0.0255,SMORE_baby_FBG+MDR_seed2024_noise_text.log,ok
baby,FBG+MDR,2024,normal,,0.0659,0.1017,0.1683,0.0358,0.045,0.0584,0.0073,0.0258,SMORE_baby_FBG+MDR_seed2024_normal.log,ok
baby,FBG+MDR_drop_image,42,normal,,0.0617,0.0971,0.1684,0.0339,0.043,0.0575,0.0068,0.0247,SMORE_baby_FBG+MDR_seed42_drop_image.log,ok
baby,FBG+MDR_drop_text,42,normal,,0.0616,0.0974,0.1681,0.0338,0.043,0.0573,0.0068,0.0245,SMORE_baby_FBG+MDR_seed42_drop_text.log,ok
baby,FBG+MDR_noise_both,42,normal,,0.0629,0.0989,0.1648,0.0347,0.044,0.0574,0.0069,0.0253,SMORE_baby_FBG+MDR_seed42_noise_both.log,ok
baby,FBG+MDR_noise_image,42,normal,,0.0626,0.0985,0.1648,0.0346,0.0439,0.0573,0.0069,0.0252,SMORE_baby_FBG+MDR_seed42_noise_image.log,ok
